coords_x,coords_y,coords_z,latitude,longitude
0,0,0,0,0
-18.48248, 61.311348, 12.261812, -22.4153575, -45.4483733
-75.520546, 151.161285, 11.117550, -22.4158677, -45.4492451
-143.855820, 205.949341, 11.130083, -22.4164826, -45.4497783
-32.630505, 240.117950, 22.637791, -22.4154805, -45.4501148
-56.341240, 279.959290, 30.328074, -22.4157006, -45.4504986
0,0,0,0,0
